ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin
100053,Biomedical Engineering,Sewing,Pottery,Female,Clinical Engineer,South Korea
100054,Civil Engineering,Backpacking,Drawing,Male,Sustainable Building Design Eng.,Brazil
100055,Cybersecurity,Computer Programming,Chess,Female,Penetration Tester,China
100056,Financial Technology,Shopping,Music,Female,Fintech Consultant,United States
100057,Environmental Engineering,Gardening,Hiking,Male,Environmental Engineer,Canada
100058,Computational Mechanics & Sci.,Mountain Biking,Drawing,Male,High-Performance Computing Spec.,United Kingdom
100059,Medical Technology Design,Cooking,Photography,Female,Pharmaceutical Engineer,Australia
100060,Cybersecurity,Web Design,Video Gaming,Male,Security Consultant,Germany
100061,Mechanical Engineering,Soccer,Wood Working,Male,Biomechanical Engineer,France
100062,AI,Writing,Chess,Male,Natural Language Processing Eng.,Japan
100063,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,South Korea
100064,Civil Engineering,Backpacking,Mountain Biking,Male,Geotechnical Engineer,Brazil
100065,Design and Technology Innovation,Photography,Drawing,Female,Innovation Strategist,China
100066,Financial Technology,Shopping,Music,Female,Economic Consulting,United States
100067,Climate and Sustainability Eng.,Gardening,Hiking,Male,Climate Change Analyst,Canada
100068,Game Design Development & Innov.,Video Gaming,Drawing,Male,Game Designer,United Kingdom
100069,Biomedical Engineering,Cooking,Photography,Female,Biomedical Research,Australia
100070,Electrical and Computer Eng.,Web Design,Basketball,Male,AI/Machine Learning Engineer,Germany
100071,Mechanical Engineering,Soccer,Wood Working,Male,Robotics Engineer,France
100072,AI,Writing,Chess,Male,AI Ethics Specialist,Japan
100073,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea
100074,Civil Engineering,Backpacking,Mountain Biking,Male,Structural Engineer,Brazil
100075,Computational Mechanics & Sci.,Drawing,Hiking,Female,Computational Fluid Dynamics Eng.,China
100076,Environmental Engineering,Gardening,Hiking,Female,Environmental Advocate,United States
100077,Cybersecurity,Computer Programming,Video Gaming,Male,Cryptographer,Canada
100078,Financial Technology,Shopping,Music,Male,Financial Technology,United Kingdom
100079,Mechanical Engineering,Soccer,Wood Working,Female,Product Design Engineer,Australia
100080,AI,Writing,Chess,Male,Natural Language Processing Eng.,Germany
100081,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,France
100082,Civil Engineering,Backpacking,Mountain Biking,Male,Transportation Engineer,Japan
100083,Design and Technology Innovation,Photography,Drawing,Male,Innovation Strategist,South Korea
100084,Game Design Development & Innov.,Video Gaming,Drawing,Female,Game Designer,Brazil
100085,Computational Mechanics & Sci.,Mountain Biking,Hiking,Male,Finite Element Analyst,China
100086,Risk Engineering,Chess,Mountain Biking,Male,Risk Engineer,United States
100087,Materials Science and Engineering,Pottery,Drawing,Female,Renewable Energy Engineer,Canada
100088,AI,Video Gaming,Writing,Female,AI Ethics Specialist,United Kingdom
100089,Cybersecurity,Computer Programming,Chess,Male,Penetration Tester,Australia
100090,Mechanical Engineering,Soccer,Wood Working,Male,Biomechanical Engineer,Germany
100091,Environmental Engineering,Gardening,Hiking,Female,Climate Change Analyst,France
100092,Computational Mechanics & Sci.,Mountain Biking,Drawing,Male,Computational Fluid Dynamics Eng.,Japan
100093,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea
100094,Civil Engineering,Backpacking,Mountain Biking,Male,Structural Engineer,Brazil
100095,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,China
100096,Financial Technology,Shopping,Music,Female,UX Designer,United States
100097,Environmental Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Canada
100098,Mechanical Engineering,Soccer,Wood Working,Male,Product Design Engineer,United Kingdom
100099,AI,Writing,Chess,Male,Natural Language Processing Eng.,Australia
100100,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,Germany
100101,Civil Engineering,Backpacking,Mountain Biking,Male,Transportation Engineer,France
100102,Computational Mechanics & Sci.,Mountain Biking,Drawing,Female,High-Performance Computing Spec.,Japan
100103,Game Design Development & Innov.,Video Gaming,Drawing,Male,Game Designer,South Korea
100104,Cybersecurity,Computer Programming,Chess,Female,Security Consultant,Brazil
100105,Risk Engineering,Chess,Mountain Biking,Male,Risk Engineer,China
100106,AI,Video Gaming,Writing,Male,AI/Machine Learning Engineer,United States
100107,Mechanical Engineering,Soccer,Wood Working,Female,Robotics Engineer,Canada
100108,Financial Technology,Shopping,Music,Male,Fintech Consultant,United Kingdom
100109,Environmental Engineering,Hiking,Gardening,Male,Environmental Advocate,Australia
100110,Civil Engineering,Backpacking,Mountain Biking,Female,Geotechnical Engineer,Germany
100111,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Analyst,France
100112,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,Japan
100113,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea
100114,Computational Mechanics & Sci.,Mountain Biking,Drawing,Male,Finite Element Analyst,Brazil
100115,Materials Science and Engineering,Photography,Drawing,Female,Materials Science Research,China
100116,Climate and Sustainability Eng.,Gardening,Hiking,Female,Sustainable Building Design Eng.,India
100117,Risk Engineering,Chess,Mountain Biking,Male,Risk Engineer,Russia
100118,Electrical and Computer Eng.,Web Design,Basketball,Male,AI Ethics Specialist,Italy
100119,Medical Technology Design,Cooking,Photography,Female,Pharmaceutical Engineer,Spain
100120,Photonics and Optical Sciences,Drawing,Hiking,Male,Photonics Engineer,Mexico
100121,Design and Technology Innovation,Pottery,Drawing,Female,Innovation Strategist,Argentina
100122,Computational Mechanics & Sci.,Running,Hiking,Male,Computational Fluid Dynamics Eng.,South Africa
100123,Game Design Development & Innov.,Video Gaming,Drawing,Female,Creative Director,Sweden
100124,Financial Technology,Shopping,Music,Male,Financial Analyst,Netherlands
100125,AI,Writing,Chess,Male,AI Ethics Specialist,Norway
100126,Financial Technology,Shopping,Music,Female,UX Designer,United States
100127,Environmental Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Canada
100128,Mechanical Engineering,Soccer,Wood Working,Male,Product Design Engineer,United Kingdom
100129,AI,Writing,Chess,Male,Natural Language Processing Eng.,Australia
100130,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,Germany
100131,Civil Engineering,Backpacking,Mountain Biking,Male,Transportation Engineer,France
100132,Computational Mechanics & Sci.,Mountain Biking,Drawing,Female,High-Performance Computing Spec.,Japan
100133,Game Design Development & Innov.,Video Gaming,Drawing,Male,Game Designer,South Korea
100134,Cybersecurity,Computer Programming,Chess,Female,Security Consultant,Brazil
100135,Risk Engineering,Chess,Mountain Biking,Male,Risk Engineer,China
100136,Materials Science and Engineering,Photography,Drawing,Female,Materials Science Research,India
100137,Financial Technology,Shopping,Music,Male,Financial Analyst,Russia
100138,Electrical and Computer Eng.,Web Design,Basketball,Male,AI Ethics Specialist,Italy
100139,Medical Technology Design,Cooking,Photography,Female,Pharmaceutical Engineer,Spain
100140,Photonics and Optical Sciences,Drawing,Hiking,Male,Photonics Engineer,Mexico
100141,Design and Technology Innovation,Pottery,Drawing,Female,Innovation Strategist,Argentina
100142,Computational Mechanics & Sci.,Running,Hiking,Male,Computational Fluid Dynamics Eng.,South Africa
100143,Game Design Development & Innov.,Video Gaming,Drawing,Female,Creative Director,Sweden
100144,Financial Technology,Shopping,Music,Male,Financial Advisor,Netherlands
100145,AI,Writing,Chess,Male,AI Ethics Specialist,Norway
100146,AI,Video Gaming,Writing,Male,AI/Machine Learning Engineer,United States
100147,Mechanical Engineering,Soccer,Wood Working,Female,Robotics Engineer,Canada
100148,Financial Technology,Shopping,Music,Male,Fintech Consultant,United Kingdom
100149,Environmental Engineering,Hiking,Gardening,Male,Environmental Advocate,Australia
100150,Civil Engineering,Backpacking,Mountain Biking,Female,Geotechnical Engineer,Germany
100151,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Analyst,France
100152,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,Japan
100153,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea
100154,Computational Mechanics & Sci.,Mountain Biking,Drawing,Male,Finite Element Analyst,Brazil
100155,Materials Science and Engineering,Photography,Drawing,Female,Materials Science Research,China
100156,Climate and Sustainability Eng.,Gardening,Hiking,Female,Sustainable Building Design Eng.,India
100157,Risk Engineering,Chess,Mountain Biking,Male,Risk Engineer,Russia
100158,Electrical and Computer Eng.,Web Design,Basketball,Male,AI Ethics Specialist,Italy
100159,Medical Technology Design,Cooking,Photography,Female,Pharmaceutical Engineer,Spain
100160,Photonics and Optical Sciences,Drawing,Hiking,Male,Photonics Engineer,Mexico
100161,Design and Technology Innovation,Pottery,Drawing,Female,Innovation Strategist,Argentina
100162,Computational Mechanics & Sci.,Running,Hiking,Male,Computational Fluid Dynamics Eng.,South Africa
100163,Game Design Development & Innov.,Video Gaming,Drawing,Female,Creative Director,Sweden
100164,Financial Technology,Shopping,Music,Male,Financial Analyst,Netherlands
100165,AI,Writing,Chess,Male,AI Ethics Specialist,Norway
100166,Biomedical Engineering,Hiking,Wood Working,Female,Biomechanical Engineer,Canada
100167,Financial Technology,Photography,Music,Female,Financial Planner,United States
100168,Civil Engineering,Mountain Biking,Backpacking,Male,Structural Engineer,Australia
100169,Game Design Development & Innov.,Drawing,Video Gaming,Male,Game Tester,United Kingdom
100170,AI,Reading,Writing,Female,AI Ethics Researcher,Germany
100171,Mechanical Engineering,Wood Working,Soccer,Male,Industrial Engineer,France
100172,Biomedical Engineering,Drawing,Photography,Female,Biomedical Researcher,Japan
100173,Environmental Engineering,Hiking,Gardening,Male,Environmental Consultant,South Korea
100174,Cybersecurity,Video Gaming,Chess,Male,Cybersecurity Consultant,Brazil
100175,Materials Science and Engineering,Pottery,Drawing,Female,Materials Engineer,China
100176,Risk Engineering,Mountain Biking,Chess,Female,Risk Analyst,India
100177,Financial Technology,Music,Shopping,Male,Financial Risk Manager,Russia
100178,Civil Engineering,Hiking,Mountain Biking,Male,Civil Engineer,Italy
100179,Game Design Development & Innov.,Drawing,Video Gaming,Female,Game Artist,Spain
100180,AI,Chess,Writing,Male,AI Research Scientist,Mexico
100181,Mechanical Engineering,Wood Working,Soccer,Female,Product Design Engineer,Argentina
100182,Biomedical Engineering,Photography,Drawing,Male,Medical Device Engineer,South Africa
100183,Environmental Engineering,Gardening,Hiking,Female,Environmental Scientist,Sweden
100184,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Engineer,Netherlands
100185,Materials Science and Engineering,Drawing,Pottery,Female,Nanomaterials Engineer,Norway
100186,AI,Video Gaming,Writing,Male,AI Research Scientist,United States
100187,Mechanical Engineering,Soccer,Wood Working,Female,Aerospace Engineer,Canada
100188,Financial Technology,Shopping,Music,Male,Quantitative Analyst,United Kingdom
100189,Environmental Engineering,Hiking,Gardening,Male,Environmental Consultant,Australia
100190,Civil Engineering,Backpacking,Mountain Biking,Female,Urban Planner,Germany
100191,Cybersecurity,Computer Programming,Chess,Male,Ethical Hacker,France
100192,Game Design Development & Innov.,Video Gaming,Drawing,Male,Game Producer,Japan
100193,Biomedical Engineering,Pottery,Embroidery,Female,Biomechanics Engineer,South Korea
100194,Computational Mechanics & Sci.,Mountain Biking,Drawing,Male,Computational Biologist,Brazil
100195,Materials Science and Engineering,Photography,Drawing,Female,Metallurgical Engineer,China
100196,Climate and Sustainability Eng.,Gardening,Hiking,Female,Climate Policy Analyst,India
100197,Risk Engineering,Chess,Mountain Biking,Male,Actuary,Russia
100198,Electrical and Computer Eng.,Web Design,Basketball,Male,Robotics Engineer,Italy
100199,Medical Technology Design,Cooking,Photography,Female,Medical Imaging Engineer,Spain
100200,Photonics and Optical Sciences,Drawing,Hiking,Male,Optical Engineer,Mexico
100201,Design and Technology Innovation,Pottery,Drawing,Female,UX/UI Designer,Argentina
100202,Computational Mechanics & Sci.,Running,Hiking,Male,Computational Chemist,South Africa
100203,Game Design Development & Innov.,Video Gaming,Drawing,Female,Narrative Designer,Sweden
100204,Financial Technology,Shopping,Music,Male,Cryptocurrency Analyst,Netherlands
100205,AI,Writing,Chess,Male,AI Product Manager,Norway
100206,Biomedical Engineering,Hiking,Wood Working,Female,Tissue Engineer,Canada
100207,Financial Technology,Photography,Music,Female,Blockchain Developer,United States
100208,Civil Engineering,Mountain Biking,Backpacking,Male,Transportation Planner,Australia
100209,Game Design Development & Innov.,Drawing,Video Gaming,Male,Level Designer,United Kingdom
100210,AI,Reading,Writing,Female,AI Ethicist,Germany
100211,Mechanical Engineering,Wood Working,Soccer,Male,Automotive Engineer,France
100212,Biomedical Engineering,Drawing,Photography,Female,Rehabilitation Engineer,Japan
100213,Environmental Engineering,Hiking,Gardening,Male,Water Resources Engineer,South Korea
100214,Cybersecurity,Video Gaming,Chess,Male,Security Architect,Brazil
100215,Materials Science and Engineering,Pottery,Drawing,Female,Polymer Engineer,China
100216,Risk Engineering,Mountain Biking,Chess,Female,Risk Analyst,India
100217,Financial Technology,Music,Shopping,Male,Algorithmic Trader,Russia
100218,Civil Engineering,Hiking,Mountain Biking,Male,Structural Designer,Italy
100219,Game Design Development & Innov.,Drawing,Video Gaming,Female,Concept Artist,Spain
100220,AI,Chess,Writing,Male,Machine Learning Scientist,Mexico
100221,Mechanical Engineering,Wood Working,Soccer,Female,HVAC Engineer,Argentina
100222,Biomedical Engineering,Photography,Drawing,Male,Medical Device Researcher,South Africa
100223,Environmental Engineering,Gardening,Hiking,Female,Environmental Policy Advisor,Sweden
100224,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Researcher,Netherlands
100225,Materials Science and Engineering,Drawing,Pottery,Female,Ceramics Engineer,Norway
100226,AI,Photography,Video Gaming,Male,AI/Machine Learning Engineer,United States
100227,Biomedical Engineering,Cooking,Hiking,Female,Biomedical Research,Canada
100228,Civil Engineering,Wood Working,Gardening,Male,Structural Engineer,United Kingdom
100229,Climate and Sustainability Engineering,Mountain Biking,Backpacking,Female,Environmental Advocate,Australia
100230,Computational Mechanics and Scientific Computing,Digital Art,Music,Male,High-Performance Computing Specialist,Germany
100231,Cybersecurity,Chess,Soccer,Female,Cybersecurity Analyst,France
100232,Design and Technology Innovation,Drawing,Computer Programming,Male,Product Design Engineer,Japan
100233,Electrical and Computer Engineering,Running,Web Design,Female,Software Development,South Korea
100234,Environmental Engineering,Beekeeping,Hiking,Male,Renewable Energy Engineer,Brazil
100235,Financial Technology,Wine Making,Entreprenuership,Female,Economic Consulting,India
100236,Civil Engineering,Web Design,Crochet,Male,Pharmaceutical Engineer,Mexico
100237,Biomedical Engineering,Entreprenuership,Running,Non-Binary,Transportation Engineer,France
100238,Environmental Engineering,Gardening,Shopping,Male,Water Resources Engineer,USA
100239,Photonics and Optical Sciences,Pottery,Snowboarding,Female,Other,India
100240,Medical Technology Design,Chess,Weaving,Female,Clinical Psychology,South Korea
100241,Environmental Engineering,Music,Brewing,Non-Binary,Transportation Engineer,Japan
100242,Environmental Engineering,Archery,Wood Working,Female,Natural Language Processing Engineer,Belgium
100243,Mechanical Engineering,Chess,Gardening,Female,Climate Change Analyst,China
100244,Cybersecurity,Shopping,Toy,Non-Binary,Clinical Engineer,Belgium
100245,Photonics and Optical Sciences,Basketball,Metalworking,Non-Binary,Robotics Engineer,Canada
100246,Biomedical Engineering,Pottery,Hiking,Male,Environmental Advocacy,South Korea
100247,Materials Science and Engineering,Model Building,Hunting,Non-Binary,Computational Fluid Dynamics Engineer,India
100248,Materials Science and Engineering,Hunting,Crochet,Female,Computer Vision Engineer,Australia
100249,Electrical and Computer Engineering,Baseball,Digital Art,Non-Binary,Electrical Engineering,USA
100250,Materials Science and Engineering,Model Building,Soccer,Non-Binary,Climate Change Analyst,China
100251,Photonics and Optical Sciences,Glassblowing,Model Building,Female,Cybersecurity Analyst,Norway
100252,Design and Technology Innovation,Photography,Toy,Female,AI/Machine Learning Engineer,Brazil
100253,Risk Engineering,Toy,Baseball,Female,Biomedical Device Engineer,Mexico
100254,Computational Mechanics and Scientific Computing,Drawing,Archery,Non-Binary,Clinical Psychology,China
100255,Financial Technology,Backpacking,Toy,Female,Geotechnical Engineer,Russia
100256,Mechanical Engineering,Running,Pottery,Non-Binary,Structural Engineer,Brazil
100257,Electrical and Computer Engineering,Scuba Diving,Shopping,Non-Binary,Biomedical Research,Netherlands
100258,Civil Engineering,Web Design,Entreprenuership,Non-Binary,Clinical Psychology,Netherlands
100259,Design and Technology Innovation,Pottery,Dance,Female,Climate Change Analyst,Netherlands
100260,Medical Technology Design,Jewelry Design,Embroidery,Male,AI Ethics Specialist,South Korea
100261,Game Design Development and Innovation,Model Building,Wood Working,Male,Other,Belgium
100262,AI,Weaving,Pottery,Male,Academia,Australia
100263,Materials Science and Engineering,Knitting,Dance,Male,Electrical Engineering,South Korea
100264,Climate and Sustainability Engineering,Beekeeping,Writing,Non-Binary,Biomedical Research,India
100265,Computational Mechanics and Scientific Computing,Soccer,Drawing,Non-Binary,AI Ethics Specialist,Japan
100266,Computational Mechanics and Scientific Computing,Pottery,Music,Non-Binary,Creative Writing,Japan
100267,Design and Technology Innovation,Model Building,Soccer,Male,Clinical Engineer,France
100268,Computational Mechanics and Scientific Computing,Metalworking,Running,Non-Binary,Cryptographer,Spain
100269,Medical Technology Design,Dance,Baseball,Non-Binary,Computational Fluid Dynamics Engineer,India
100270,AI,Weaving,Web Design,Non-Binary,Computer Vision Engineer,Germany
100271,AI,Chess,Hiking,Female,Software Development,USA
100272,Electrical and Computer Engineering,Scuba Diving,Embroidery,Male,Data Scientist,Germany
100273,Medical Technology Design,Digital Art,Hunting,Female,Computer Vision Engineer,Japan
100274,Photonics and Optical Sciences,Hunting,Digital Art,Male,Software Development,India
100275,AI,Pottery,Running,Male,User Experience (UX) Designer,China
100276,Materials Science and Engineering,Chess,Photography,Non-Binary,Creative Writing,Denmark
100277,Design and Technology Innovation,Knitting,Video Gaming,Non-Binary,Historical Research,China
100278,Photonics and Optical Sciences,Baseball,Writing,Male,Water Resources Engineer,China
100279,Civil Engineering,Model Building,Cooking,Non-Binary,Sustainable Building Design Engineer,Canada
100280,Civil Engineering,Judo,Backpacking,Male,Physics Research,Denmark
100281,Materials Science and Engineering,Model Building,Jewelry Design,Non-Binary,Materials Engineer,Germany
100282,Risk Engineering,Computer Programming,Strategy Games,Female,Risk Analyst,China
100283,Design and Technology Innovation,Photography,Drawing,Non-Binary,User Experience (UX) Designer,Germany
100284,Civil Engineering,Model Building,Photography,Male,Transportation Engineer,Canada
100285,Climate and Sustainability Engineering,Beekeeping,Gardening,Male,Environmental Advocacy,India
100286,Photonics and Optical Sciences,Telescope Building,Photography,Male,Photonics Researcher,Spain
100287,Game Design Development and Innovation,Video Gaming,Computer Programming,Female,Software Development,Mexico
100288,Materials Science and Engineering,Model Building,Pottery,Non-Binary,Product Design Engineer,Japan
100289,Mechanical Engineering,Metalworking,Model Building,Male,Robotics Engineer,India
100290,Civil Engineering,Drawing,Photography,Male,Environmental Engineer,Canada
100291,Civil Engineering,Photography,Drawing,Male,Structural Engineer,France
100292,Cybersecurity,Computer Programming,Web Design,Female,Cybersecurity Analyst,China
100293,Environmental Engineering,Hiking,Gardening,Male,Water Resources Engineer,South Korea
100294,Materials Science and Engineering,Model Building,Jewelry Design,Male,Product Design Engineer,Belgium
100295,Electrical and Computer Engineering,Electronics,Computer Programming,Non-Binary,Robotics Engineer,Italy
100296,Medical Technology Design,Knitting,Model Building,Male,Biomedical Device Engineer,UK
100297,AI,Digital Art,Video Gaming,Female,AI/Machine Learning Engineer,France
100298,AI,Computer Programming,Digital Art,Female,Software Development,Sweden
100299,Mechanical Engineering,Wood Working,Metalworking,Male,Product Design Engineer,Spain
100300,Environmental Engineering,Photography,Hiking,Non-Binary,Climate Change Analyst,Italy
100301,AI,Photography,Cooking,Female,AI Ethics Specialist,United States
100302,Biomedical Engineering,Drawing,Hiking,Male,Biomedical Research,Canada
100303,Civil Engineering,Soccer,Wood Working,Female,Structural Engineer,United Kingdom
100304,Climate and Sustainability Engineering,Gardening,Backpacking,Male,Climate Change Analyst,Australia
100305,Computational Mechanics and Scientific Computing,Video Gaming,Mountain Biking,Male,High-Performance Computing Specialist,Germany
100306,Cybersecurity,Chess,Running,Female,Penetration Tester,France
100307,Design and Technology Innovation,Knitting,Web Design,Male,Product Design Engineer,Japan
100308,Electrical and Computer Engineering,Music,Baseball,Male,Software Development,South Korea
100309,Environmental Engineering,Beekeeping,Pottery,Female,Renewable Energy Engineer,Brazil
100310,Financial Technology,Shopping,Snowboarding,Female,Cryptographer,Mexico
100311,Game Design Development and Innovation,Painting,Cooking,Male,Video Gaming,Spain
100312,Materials Science and Engineering,Writing,Embroidery,Female,Materials Science and Engineering,Italy
100313,Mechanical Engineering,Basketball,Metalworking,Male,Mechanical Engineering,India
100314,Medical Technology Design,Sewing,Jewelry Design,Female,Biomedical Device Engineer,China
100315,Photonics and Optical Sciences,Acting,Glassblowing,Female,Computer Vision Engineer,Russia
100316,Risk Engineering,Fishing,Writing,Male,Risk Engineering,Sweden
100317,AI,Dancing,Music,Male,AI Ethics Specialist,United States
100318,Cybersecurity,Backpacking,Photography,Female,Security Consultant,Canada
100319,Environmental Engineering,Gardening,Drawing,Male,Sustainable Building Design Engineer,Australia
100320,Mechanical Engineering,Cooking,Wood Working,Female,Biomechanical Engineer,United Kingdom
100321,Financial Technology,Shopping,Digital Art,Male,Economic Consulting,Germany
100322,Game Design Development and Innovation,Video Gaming,Writing,Male,Game Developer,France
100323,Computer Programming,Hiking,Cooking,Female,Software Engineer,Japan
100324,Materials Science and Engineering,Pottery,Soccer,Male,Materials Researcher,South Korea
100325,Electrical and Computer Engineering,Knitting,Crochet,Female,Hardware Engineer,Brazil
100326,Civil Engineering,Running,Painting,Male,Civil Engineer,Mexico
100327,Photonics and Optical Sciences,Photography,Mountain Biking,Male,Optics Engineer,Spain
100328,Risk Engineering,Surfing,Music,Female,Risk Analyst,Italy
100329,Medical Technology Design,Sewing,Jewelry Design,Female,Medical Device Engineer,India
100330,Computational Mechanics and Scientific Computing,Chess,Digital Art,Male,Computational Scientist,China
100331,Climate and Sustainability Engineering,Beekeeping,Gardening,Female,Environmental Scientist,Russia
100332,Biomedical Engineering,Drawing,Pottery,Female,Biomedical Engineer,Sweden
100333,Design and Technology Innovation,Sculpting,Wood Working,Male,Industrial Designer,Netherlands
100334,Electrical Engineering,Basketball,Photography,Male,Electrical Engineer,Norway
100335,AI,Yoga,Creative Writing,Female,AI Researcher,Switzerland
100336,Financial Technology,Brewing,Chess,Female,Financial Analyst,United States
100337,Environmental Engineering,Backpacking,Photography,Male,Environmental Consultant,Canada
100338,Mechanical Engineering,Wood Working,Fishing,Male,Robotics Engineer,Australia
100339,AI,Video Gaming,Music,Female,Natural Language Processing Engineer,United Kingdom
100340,Cybersecurity,Hiking,Drawing,Female,Cybersecurity Analyst,Germany
100341,Game Design Development and Innovation,Writing,Painting,Male,Game Designer,France
100342,Computer Programming,Snowboarding,Digital Art,Male,UI/UX Designer,Japan
100343,Materials Science and Engineering,Jewelry Design,Pottery,Female,Metallurgical Engineer,South Korea
100344,Electrical and Computer Engineering,Soccer,Knitting,Male,Embedded Systems Engineer,Brazil
100345,Civil Engineering,Gardening,Running,Female,Transportation Engineer,Mexico
100346,Photonics and Optical Sciences,Photography,Wood Working,Male,Photonics Engineer,Spain
